,SV F1,Emotion F1,Gender F1,Features,Top K
0,0.936488639,0.644376843,0.992762322,[ 0 11],1
1,0.884178318,0.571851762,0.959066257,[ 0  5 11 28],2
2,0.776363403,0.508920968,0.951811695,[ 0  5  6 11 28],3
3,0.798949683,0.457295104,0.959030212,[ 0  3  5  6 11 28],4
4,0.780006809,0.424343633,0.939750311,[ 3  5  6 11 26 28],5
5,0.699826434,0.43290713,0.898755302,[ 3  6  7 11 26 28 31],6
6,0.57388384,0.418099419,0.850875367,[ 2  3  6  7 11 26 28 31],7
7,0.557898631,0.36714032,0.790593123,[ 1  2  3  6  7 11 25 26 28 31],8
8,0.488690524,0.357779706,0.771569936,[ 1  2  3  6  7 25 26 28 31],9
9,0.403052448,0.344964891,0.718031457,[ 1  2  3  6  7 21 25 26 28 31],10
10,0.403052448,0.344964891,0.718031457,[ 1  2  3  7 21 25 26 28 31],11
11,0.358625252,0.341746083,0.739656491,[ 1  2  3  7  9 12 21 25 26 28 31],12
12,0.354780357,0.322346812,0.740168409,[ 1  3  7  9 12 21 25 26 28 31],13
13,0.337390969,0.291993445,0.752390969,[ 1  3  7  8  9 12 21 25 26 28 31 36],14
14,0.238949693,0.215354645,0.70909259,[ 1  3  7  8  9 12 25 26 28 31 34 36],17
15,0.143302687,0.211221091,0.733048128,[ 1  3  7  8  9 12 19 25 26 28 31 34 36],18
16,0.135720751,0.179075326,0.755855777,[ 1  3  7  8  9 12 19 26 28 30 31 34 36],19
17,0.099933227,0.153423244,0.651518325,[ 1  3  7  8  9 19 26 28 30 31 34 36],20
18,0.099933227,0.153423244,0.651518325,[ 1  3  7  8  9 19 28 30 31 34 36],21
19,0.099933227,0.153423244,0.651518325,[ 1  3  8  9 19 28 30 31 34 36],22
20,0.099933227,0.153423244,0.651518325,[ 1  3  8  9 19 30 31 34 36],23
21,0.099357767,0.144365298,0.645424188,[ 1  8  9 19 30 31 33 34 36],24
22,0.089794494,0.138072824,0.629773463,[ 1  8  9 19 30 31 33 34 36 37],25
23,0.083873931,0.150552344,0.61387632,[ 1  8  9 30 31 33 34 36 37 39],26
24,0.066050274,0.143347295,0.634720615,[ 1  9 30 31 32 33 34 36 37 39],27
25,0.044741605,0.12839693,0.583265294,[ 1  9 29 30 31 32 33 34 36 37],28
26,0.01138181,0.066988628,0.426056107,[ 9 29 30 31 32 33 34 36 37 38],29
27,0.00214676,0.026200873,0.318032787,[20 29 30 31 32 33 34 36 37 38],30
28,0.00214676,0.026200873,0.318032787,[20 29 30 31 32 33 34 36 38],31
29,0.00214676,0.026200873,0.318032787,[29 30 31 32 33 34 36 38],32
30,0.00214676,0.026200873,0.318032787,[30 31 32 33 34 36 38],33
31,0.00214676,0.026200873,0.318032787,[30 32 33 34 36 38],34
32,0.00214676,0.026200873,0.318032787,[32 33 34 36 38],35
33,0.00214676,0.026200873,0.318032787,[32 33 36 38],36
34,0.00214676,0.026200873,0.318032787,[32 36 38],37
35,0.00214676,0.026200873,0.318032787,[32 36],38
36,0.00214676,0.026200873,0.318032787,[36],39
